ID,Nombre,Min,Max
1,Acantilado,1.8,5.3
2,Venus,1.73,5.23
3,La Escalera,1.8,5.3
4,Ticomán,1.815,5.315
5,Calle 35,1.9,5.4
6,Talismán,1.84,5.34
7,Gran Canal,1.72,5.22
8,Misterios,1.895,5.395
9,Aragón,1.868,5.368
10,Xochinahuac,1.685,5.185
11,Cuitláhuac,1.8,5.3
12,Ahuizotla,1.78,5.28
13,Ingenieros Militares,1.88,5.38
14,Tacuba,1.89,5.39
15,Homero,1.811,5.311
16,R. Flores Magón,1.84,5.34
17,Chopo,1.73,5.23
18,P. Arriaga,1.72,5.22
19,Toledo,2.028,5.528
20,Atlixco,1.71,5.21
21,Sur 69,1.85,5.35
22,Dr. Lavista,1.726,5.226
23,Aluminio,1.73,5.23
24,Norte 17,1.73,5.23
25,Antropología,1.809,5.309
26,Fray Servando,1.909,5.409
27,Churubusco (Plutarco),1.96,5.46
28,Agrícola Oriental,1.76,5.26
29,Sur 8,1.81,5.31
30,Bretaña,1.82,5.32
31,Molinos,1.79,5.29
32,Amores,1.8,5.3
33,Repúblicas,1.81,5.31
34,Nevado,1.74,5.24
35,Dakota,1.781,5.281
36,Coruña,1.852,5.352
37,Miguel Ángel,1.812,5.312
38,J. del Pedregal,1.734,5.234
39,Cuajimalpa,1.767,5.267
40,Universidad,1.785,5.285
41,Vía Láctea,1.912,5.412
42,Sta. Úrsula,1.71,5.21
43,Cafetales,1.79,5.29
44,Tezontle,1.8,5.3
45,Loreto,1.79,5.29
46,Año de Juárez,1.8,5.3
47,Ermita,1.831,5.331
48,Michoacán,1.81,5.31
49,Las Torres,1.833,5.333
50,República Federal,1.715,5.215
51,Tláhuac,1.77,5.27
52,Xochimilco,1.721,5.221
53,Acoxpa,1.78,5.28
54,Padierna,1.75,5.25
55,Cía. 8-B,1.782,5.282
56,López Portillo,1.842,5.342
57,Constitución de 1917,1.767,5.267
58,Eje 2 Oriente,1.5,5
59,Octavio Sentíes,1.915,5.415
60,Nautla,1.83,5.33
61,Ahueyotl,1.88,5.38
62,Delfín Madrigal,1.71,5.21
63,Mar de las Lluvias,1.77,5.27
64,Zapotitlán,1.825,5.325
65,Av. Del Trabajo,1.77,5.27
66,Prol. División del Norte,1.807,5.307
67,Hidalgo,1.9,5.4
68,Eje 4 Norte,1.875,5.375
69,Norte 73,1.815,5.315
70,Transvaal,1.77,5.27
71,Santiago,1.82,5.32
72,Correo Mayor,1.78,5.28
73,Paseo de la Reforma,1.725,5.225
74,Circuito Interior,1.695,5.195
75,Plomo,1.765,5.265
76,Ahorro Postal,1.885,5.385
77,Lago Hurón,1.765,5.265
78,Sanctorum,1.8,5.3
79,Apatlaco,1.85,5.35
80,Aquiles Serdán,1.54,5.04
81,Norte 35,1.54,5.04
82,Da Vinci,1.54,5.04
83,E. Rebsamen,1.54,5.04
84,Angel Urraza,1.54,5.04
85,Romero de Terreros,1.54,5.04
86,Vértiz,1.54,5.04
87,Canal Nacional,1.54,5.04
88,Dr. Márquez,1.54,5.04
89,Lagunilla,1.54,5.04
90,Centenario,1.54,5.04
91,La Mexicana,1.545,5.045
92,Poniente 112,1.54,5.04
93,Calle 2,1.54,5.04
94,Circunvalación,1.54,5.04
95,Telecomunicaciones,1.54,5.04
96,Legaria 2,1.54,5.04
97,Escorpena,1.54,5.04
